TIPPESSOA;NOMEPARC;CODCID;ATIVO;CLIENTE;CLASSIFICMS
F;Cairo Bryant;10;S;S;C
F;Sybil Fuller;10;S;S;C
F;Tate Grant;10;S;S;C
F;Beverly Frazier;10;S;S;C
F;Kelsie Moreno;10;S;S;C
F;Brenda Byrd;10;S;S;C
F;Owen Wilder;10;S;S;C
F;Ina Horn;10;S;S;C
F;Orlando Chavez;10;S;S;C
F;Baker Guerra;10;S;S;C
F;Eaton Velez;10;S;S;C
F;Brock Cameron;10;S;S;C
F;Florence Harvey;10;S;S;C
F;Roth Dominguez;10;S;S;C
F;Sage Doyle;10;S;S;C
F;Rana Wade;10;S;S;C
F;Kasimir Finley;10;S;S;C
F;Elizabeth Hendricks;10;S;S;C
F;Ciaran Gamble;10;S;S;C
F;Cadman Shepard;10;S;S;C
F;Gavin Cobb;10;S;S;C
F;Francis Huber;10;S;S;C
F;Flavia Carr;10;S;S;C
F;Ali Olsen;10;S;S;C
F;Rama Cain;10;S;S;C
F;Neve Mccoy;10;S;S;C
F;Felix Pratt;10;S;S;C
F;Judah Beasley;10;S;S;C
F;Lars Guthrie;10;S;S;C
F;Mari Garcia;10;S;S;C
F;Rhona Schneider;10;S;S;C
F;Freya Trevino;10;S;S;C
F;Rhoda Blake;10;S;S;C
F;Rooney Huff;10;S;S;C
F;Ainsley Pennington;10;S;S;C
F;Dorian Pugh;10;S;S;C
F;Baker Robbins;10;S;S;C
F;Dillon Garrett;10;S;S;C
F;Amethyst Soto;10;S;S;C
F;Genevieve Logan;10;S;S;C
F;Marshall Parsons;10;S;S;C
F;Kristen Wise;10;S;S;C
F;Hayes Woodard;10;S;S;C
F;Aretha Walters;10;S;S;C
F;Blaze Bauer;10;S;S;C
F;Elvis Moody;10;S;S;C
F;Faith Melton;10;S;S;C
F;Latifah Rogers;10;S;S;C
F;Tana Adkins;10;S;S;C
F;Nyssa Crane;10;S;S;C
F;Jordan Jacobs;10;S;S;C
F;Cathleen Mckenzie;10;S;S;C
F;Jorden Lloyd;10;S;S;C
F;Uta Simon;10;S;S;C
F;Stewart Williams;10;S;S;C
F;Darryl Head;10;S;S;C
F;Nomlanga Knapp;10;S;S;C
F;Armand Reyes;10;S;S;C
F;Adam Gilmore;10;S;S;C
F;Maxwell Webster;10;S;S;C
F;Nerea Bird;10;S;S;C
F;Branden Cole;10;S;S;C
F;Kimberly Calderon;10;S;S;C
F;Upton Ford;10;S;S;C
F;Kieran Salazar;10;S;S;C
F;Lamar Beck;10;S;S;C
F;Lael Pruitt;10;S;S;C
F;Genevieve Mason;10;S;S;C
F;Gavin Mcintosh;10;S;S;C
F;Jana Hunt;10;S;S;C
F;Shellie Foley;10;S;S;C
F;David Dominguez;10;S;S;C
F;Sonia Whitehead;10;S;S;C
F;Garrett Cain;10;S;S;C
F;Imogene Harris;10;S;S;C
F;Evelyn Gentry;10;S;S;C
F;Marcia Livingston;10;S;S;C
F;Joel Ruiz;10;S;S;C
F;Aurora Marquez;10;S;S;C
F;Katelyn Nguyen;10;S;S;C
F;Rebekah Harrell;10;S;S;C
F;Gwendolyn Cannon;10;S;S;C
F;Basil Mcconnell;10;S;S;C
F;Abra Reese;10;S;S;C
F;Burton Ramsey;10;S;S;C
F;Alan Gould;10;S;S;C
F;Abel Kelly;10;S;S;C
F;Salvador Fuller;10;S;S;C
F;Hyatt Rich;10;S;S;C
F;Angelica Casey;10;S;S;C
F;Irene Lane;10;S;S;C
F;Cody Ashley;10;S;S;C
F;Palmer Miranda;10;S;S;C
F;Fleur Malone;10;S;S;C
F;Rebecca Hatfield;10;S;S;C
F;Cecilia Schneider;10;S;S;C
F;Angela Rivera;10;S;S;C
F;Timothy Sanders;10;S;S;C
F;Inga Salinas;10;S;S;C
F;Karyn Oneal;10;S;S;C
F;Norman Fowler;10;S;S;C
F;Laith Collins;10;S;S;C
F;Sandra Riddle;10;S;S;C
F;Jelani Madden;10;S;S;C
F;Christine Lott;10;S;S;C
F;Byron Humphrey;10;S;S;C
F;Vincent Weeks;10;S;S;C
F;James Stokes;10;S;S;C
F;Nyssa Tillman;10;S;S;C
F;Herman Chase;10;S;S;C
F;Nehru Holcomb;10;S;S;C
F;Inga Alexander;10;S;S;C
F;MacKensie Leach;10;S;S;C
F;Sybil Guerrero;10;S;S;C
F;Emi Joyner;10;S;S;C
F;Anastasia Floyd;10;S;S;C
F;Quinlan Foley;10;S;S;C
F;Alika Britt;10;S;S;C
F;Reed Becker;10;S;S;C
F;Ishmael Hall;10;S;S;C
F;Sandra Blackwell;10;S;S;C
F;Ariana Downs;10;S;S;C
F;Whoopi Sherman;10;S;S;C
F;Vanna Santos;10;S;S;C
F;Wynne Bennett;10;S;S;C
F;Rinah Frye;10;S;S;C
F;Jasper Delgado;10;S;S;C
F;Daniel Crawford;10;S;S;C
F;Wayne Terry;10;S;S;C
F;Abraham Dennis;10;S;S;C
F;Salvador Clemons;10;S;S;C
F;Ulla Lopez;10;S;S;C
F;Stacey Richardson;10;S;S;C
F;Ali Zimmerman;10;S;S;C
F;Alec Lindsey;10;S;S;C
